System,NodeID,SpeciesID,StageID,Stage,SpeciesID.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeSD,BodySizeN,BodySizeEstimation,BodySizeNotes,Abundance(no./ha),Abundance95%CL,AbundanceDF,Biomass(kg/ha),Biomass95%CL,BiomassDF,BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,NodeNotes
EPB,12,12,1,adult,12.1,phytoplankton,vascular plant,taxon,assemblage,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,3384.7829,NA,NA,"quantification, limited sampling","epb lagoon phytoplankton cell densities from  Montes-Hugo & Alvarez-Borrego 2007, assuming mean cell can be approximated by 50micron diameter sphere, tissue density of 1.1 g/mL, applied to aquatic habitat (chans, flats, pans, with mean depth of 0.5 m",Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,13,13,1,adult,13.1,roots,vascular plant,taxon,assemblage,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,106141.67,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,14,14,1,adult,14.1,Annual Pickleweed,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,1616,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Chenopodiaceae,Salicornia,biglovii,NA
EPB,16,16,1,adult,16.1,Pickleweed,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,1958.2263,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Chenopodiaceae,Salicornia,virginica,NA
EPB,17,17,1,adult,17.1,California Cordgrass,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,9030,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Poaceae,Spartina,foliosa,NA
EPB,21,21,1,adult,21.1,foraminiferan,protist,taxon,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,2.43e-5,NA,10,species,volumetric,NA,NA,NA,0.3169104,NA,NA,extrapolation from other estuary,"CSM plankton cores, adjusted for habitat area",Protozoa,Foraminifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in plankton samples
EPB,22,22,1,adult,22.1,annelid,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.00651882,0.00480078,13,population,individuals encountered during the random sampling described in Kuris et al. (2008),45323.68,85669.1295,6,0.2154143,0.46129557,6,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,23,23,1,adult,23.1,annelid red,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.00296524,NA,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),26482.11,62620.2475,7,0.0785259,0.18568412,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,26,26,1,adult,26.1,capitellid?,annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00570975,5.8059e-4,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),15667.44,38336.8568,6,0.0894573,0.21889404,6,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,27,27,1,adult,27.1,cirratulid,annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00421948,NA,3,population,individuals encountered during the random sampling described in Kuris et al. (2008),109586.21,267884.996,4.00380471,0.4623973,1.13033656,4.00380471,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Cirratulidae,NA,NA,NA
EPB,28,28,1,adult,28.1,cirratulid?,annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00363676,6.3182e-4,3,population,individuals encountered during the random sampling described in Kuris et al. (2008),45665.31,91287.4263,7.02573355,0.1858367,0.38240509,7.01016938,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,29,29,1,adult,29.1,Cirriformia spirabrancha,annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.0035788,0.00122711,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),20143.86,36967.6833,6,0.0720908,0.13853728,6,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Cirratulidae,Cirriformia,spirabrancha,NA
EPB,30,30,1,adult,30.1,ctenodrilid,annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00658063,NA,102,population,individuals encountered during the random sampling described in Kuris et al. (2008),2658283.26,6262070.04,7,17.493192,41.2083969,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Ctenodrilidae,NA,NA,NA
EPB,31,31,1,adult,31.1,errant annelid,annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00555352,0.00428598,3,population,individuals encountered during the random sampling described in Kuris et al. (2008),127003.59,274203.371,4.04745275,0.4171782,0.6791473,7.76464883,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,32,32,1,adult,32.1,errant large annelid,annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00990495,NA,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),26482.11,62620.2475,7,0.262304,0.62025027,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,33,33,1,adult,33.1,Neanthes,annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00779106,0.00910013,25,population,individuals encountered during the random sampling described in Kuris et al. (2008),550881.2,592941.697,9.65585693,3.8526135,6.144319,4.29177481,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Nereidae,Neanthes,NA,NA
EPB,35,35,1,adult,35.1,oligochaete,annelid,taxon,Class,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00114,NA,NA,approximation,"literature (size of Tubificoides denouxi, Shirley & Loden 1982)",NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Annelida,NA,NA,Oligocheate,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,45,45,1,adult,45.1,spionid,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.00635377,0.00282134,7,population,individuals encountered during the random sampling described in Kuris et al. (2008),82254.75,187930.737,7.00000778,0.7555735,1.75928686,7.00000033,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Spionidae,NA,NA,NA
EPB,46,46,1,adult,46.1,spionid?,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.00936255,5.4318e-4,3,population,individuals encountered during the random sampling described in Kuris et al. (2008),79446.34,187860.742,7,0.7438207,1.75885642,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Spionidae,NA,NA,NA
EPB,47,22,2,larva,22.2,annelid,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,9.375e-4,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,48,23,2,larva,23.2,annelid red,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,3.418e-4,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,51,26,2,larva,26.2,capitellid?,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,3.893e-4,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,52,27,2,larva,27.2,cirratulid,annelid,life stage,Species,NA,nonfeeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,0.0020124,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Cirratulidae,NA,NA,NA
EPB,53,28,2,larva,28.2,cirratulid?,annelid,life stage,Species,NA,nonfeeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,8.088e-4,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,54,29,2,larva,29.2,Cirriformia spirabrancha,annelid,life stage,Species,NA,nonfeeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,3.137e-4,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Cirratulidae,Cirriformia,spirabrancha,NA
EPB,55,30,2,larva,30.2,ctenodrilid,annelid,life stage,Species,NA,nonfeeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,0.0761317,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Ctenodrilidae,NA,NA,NA
EPB,56,31,2,larva,31.2,errant annelid,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,0.0018156,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,57,32,2,larva,32.2,errant large annelid,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,0.0011416,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,58,33,2,larva,33.2,Neanthes,annelid,life stage,Species,NA,nonfeeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,0.0167669,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Nereidae,Neanthes,NA,NA
EPB,69,45,2,larva,45.2,spionid,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,0.0032883,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Spionidae,NA,NA,NA
EPB,70,46,2,larva,46.2,spionid?,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,0.0032372,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Spionidae,NA,NA,NA
EPB,71,47,1,adult,47.1,leech(glossiphonid),leech,taxon,Family,NA,feeding,free-living,free-living,micropredator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Annelida,NA,NA,Hirudinoidea,NA,NA,NA,NA,NA,Glossiphoniidae,NA,NA,NA
EPB,72,48,1,adult,48.1,anthozoan,anthozoan,taxon,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.00107102,4.1662e-4,8,population,individuals encountered during the random sampling described in Kuris et al. (2008),123834.1,251337.839,7.00066499,0.1457383,0.3055195,7.00020738,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Cnidaria,NA,NA,Anthozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,73,49,1,adult,49.1,brown cucumber,holothurian,taxon,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.01494624,0.00971072,8,population,individuals encountered during the random sampling described in Kuris et al. (2008),190410.76,291083.415,7.00003934,2.6950438,5.45879959,7.00007436,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Echinodermata,NA,NA,Holothuroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,74,50,1,adult,50.1,Carcinonemertes sp.,nemertean,taxon,Species,NA,feeding,infectious,infectious,macroparasite,NA,NA,NA,NA,1.76e-4,NA,NA,species,volumetric; (mean L from Kuris 1978 & lxw ratio from Shields & Kuris 1989),NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Nemertea,NA,NA,NA,NA,NA,NA,NA,NA,Carcinonemertidae,Carcinonemertes,sp.,"also considered a ""symbiotic egg predator"""
EPB,76,52,1,adult,52.1,cucumber,holothurian,taxon,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.01306699,NA,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),26482.11,62620.2475,7,0.3460415,0.8182581,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Echinodermata,NA,NA,Holothuroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,77,53,1,adult,53.1,nemertean,nemertean,taxon,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.00355665,0.00163304,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),110964.42,164408.265,7.00038936,0.4297778,0.70001138,7.00037547,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Nemertea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,79,55,1,adult,55.1,phoronid,phoronid,taxon,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.00244201,NA,81,population,individuals encountered during the random sampling described in Kuris et al. (2008),2162705.92,4784073.2,7,5.2813597,11.6827772,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Phoronida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,80,56,1,adult,56.1,turbellarian,turbellarian,taxon,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00296524,NA,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),26482.11,62620.2475,7,0.0785259,0.18568412,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Platyhelminthes,NA,NA,Turbellaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,81,57,1,adult,57.1,white cucumber,holothurian,taxon,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.01417997,0.00656172,5,population,individuals encountered during the random sampling described in Kuris et al. (2008),150065.31,257223.792,7,1.9206915,4.257917,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Echinodermata,NA,NA,Holothuroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,82,58,1,adult,58.1,white nemertean,nemertean,taxon,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.00656563,0.00132348,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),105928.45,250480.99,7,0.6954868,1.644565,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Nemertea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,83,59,1,adult,59.1,Chione californiensis,bivalve,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,3.5111445,2.94380159,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),14641.07,25962.2489,7,33.214136,54.6824268,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Bivalvia,NA,NA,NA,NA,NA,Veneridae,Chione,californiensis,NA
EPB,84,60,1,adult,60.1,Chione fluctifraga,bivalve,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,6.25426222,NA,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),1220.16,2985.62891,6,7.6312132,18.6729061,6,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Bivalvia,NA,NA,NA,NA,NA,Veneridae,Chione,fluctifraga,NA
EPB,85,61,1,adult,61.1,California Softshell Clam,bivalve,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.18284959,0.08055812,6,population,individuals encountered during the random sampling described in Kuris et al. (2008),60261.54,139953.072,4.00344077,7.4505812,14.4726662,4.20881053,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Bivalvia,NA,NA,NA,NA,NA,Myidae,Cryptomya,californica,NA
EPB,86,62,1,adult,62.1,Ribbed Mussel,bivalve,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,8.98188667,6.15712429,118,population,individuals encountered during the random sampling described in Kuris et al. (2008),69224.13,65411.3451,6.31908002,626.91202,549.398658,7.15858828,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Bivalvia,NA,NA,NA,NA,NA,Mytilidae,Geukensia,demissa,NA
EPB,87,63,1,adult,63.1,Pacific Eggcockle,bivalve,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.14450565,0.12450535,2,population,individuals encountered during the random sampling described in Kuris et al. (2008),4013.71,8448.76566,7.00439556,0.3096666,0.52331401,8.24300617,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Bivalvia,NA,NA,NA,NA,NA,Cardiidae,Laevicardium,substriatum,NA
EPB,88,64,1,adult,64.1,Bent-nosed Clam,bivalve,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,1.83610916,0.89957012,2,population,individuals encountered during the random sampling described in Kuris et al. (2008),7084.39,16751.9133,7,13.007708,30.7583415,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Bivalvia,NA,NA,NA,NA,NA,Tellinidae,Macoma,nasuta,NA
EPB,92,68,1,adult,68.1,Pacific Littleneck Clam,bivalve,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,2.84970943,NA,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),628.69,1538.35795,6,1.7915942,4.38387316,6,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Bivalvia,NA,NA,NA,NA,NA,Veneridae,Protothaca,staminea,NA
EPB,93,69,1,adult,69.1,Protothaca?,bivalve,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,2.84970943,NA,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),628.69,1538.35795,6,1.7915942,4.38387316,6,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPB,95,71,1,adult,71.1,Fat Jackknife Clam,bivalve,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,4.87004429,NA,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),471.52,1153.76846,6,2.2963245,5.6189035,6,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Bivalvia,NA,NA,NA,NA,NA,Psammobiidae,Tagelus,affinis,NA
EPB,97,73,1,adult,73.1,Lesser Tagelus,bivalve,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,2.04512797,1.92843458,41,population,individuals encountered during the random sampling described in Kuris et al. (2008),104793.32,108254.393,7.00245346,241.99,225.680577,7.00201836,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Bivalvia,NA,NA,NA,NA,NA,Psammobiidae,Tagelus,subteres,NA
EPB,98,74,1,adult,74.1,unk bivalve,bivalve,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.88111393,0.56925507,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),19245.92,29918.9434,7,23.309543,42.6734808,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA
