System,NodeID,SpeciesID,StageID,Stage,SpeciesID.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeSD,BodySizeN,BodySizeEstimation,BodySizeNotes,Abundance(no./ha),Abundance95%CL,AbundanceDF,Biomass(kg/ha),Biomass95%CL,BiomassDF,BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,NodeNotes
BSQ,13,13,1,adult,13.1,roots,vascular plant,taxon,assemblage,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,227215.97,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,14,14,1,adult,14.1,Annual Pickleweed,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,4074.6667,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Chenopodiaceae,Salicornia,biglovii,NA
BSQ,15,15,1,adult,15.1,Parish's Pickleweed,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.333333,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Chenopodiaceae,Salicornia,subterminalis,NA
BSQ,16,16,1,adult,16.1,Pickleweed,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,10011.333,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Chenopodiaceae,Salicornia,virginica,NA
BSQ,17,17,1,adult,17.1,California Cordgrass,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.6667,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Poaceae,Spartina,foliosa,NA
BSQ,18,18,1,adult,18.1,Suaeda,vascular plant,taxon,Genus,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,2336,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Chenopodiaceae,Suaeda,spp.,NA
BSQ,19,19,1,adult,19.1,Arrowgrass,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.333333,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Juncaginaceae,Triglochin,concinnum,NA
BSQ,20,20,1,adult,20.1,Eelgrass,vascular plant,taxon,Species,NA,autotroph,free-living,free-living,autotroph,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,813.33333,NA,NA,"quantification, estuary-wide sampling",Kuris et al. (2008),Plantae,NA,NA,NA,Angiospermae,NA,NA,NA,NA,NA,Zosteraceae,Zostera,marina,NA
BSQ,21,21,1,adult,21.1,foraminiferan,protist,taxon,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,2.43e-5,NA,10,species,volumetric,NA,NA,NA,0.2954648,NA,NA,extrapolation from other estuary,"CSM plankton cores, adjusted for habitat area",Protozoa,Foraminifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,in plankton samples
BSQ,24,24,1,adult,24.1,annelid unknown (green saccate thin skin),annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.00911533,0.00373656,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),34391.62,81323.2643,7,0.3134911,0.74128855,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,25,25,1,adult,25.1,Capitella capitata,annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00361251,0.00171603,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),34391.62,81323.2643,7,0.12424,0.29378088,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Capitellidae,Capitella,capitata,NA
BSQ,26,26,1,adult,26.1,capitellid?,annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.0019013,NA,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),74017.41,205505.263,4,0.1407296,0.39072799,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,29,29,1,adult,29.1,Cirriformia spirabrancha,annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00411416,0.00167098,21,population,individuals encountered during the random sampling described in Kuris et al. (2008),1292687.51,1884866.23,4.00001725,4.9929166,6.79435382,4.00007367,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Cirratulidae,Cirriformia,spirabrancha,NA
BSQ,34,34,1,adult,34.1,"Neanthes ""arenaceodentata""",annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.0041222,0.00115137,3,population,individuals encountered during the random sampling described in Kuris et al. (2008),156632.72,252804.899,4.00064728,0.5608062,0.88724478,4.00376929,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Nereidae,Neanthes,arenaceodentata,NA
BSQ,35,35,1,adult,35.1,oligochaete,annelid,taxon,Class,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00114,NA,NA,approximation,"literature (size of Tubificoides denouxi, Shirley & Loden 1982)",NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Annelida,NA,NA,Oligocheate,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,36,36,1,adult,36.1,brown hesionid,annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00608,0.00183042,7,population,individuals encountered during the random sampling described in Kuris et al. (2008),452702.34,996509.429,4.00000264,2.9904229,6.68378308,4.00000005,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Hesionidae,NA,NA,maybe Ophiodromus pugettensis (L.Harris LACMNH)
BSQ,37,37,1,adult,37.1,poly unk (brwn setae ant third),annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00458016,0.00143569,19,population,individuals encountered during the random sampling described in Kuris et al. (2008),621296.7,1448243.61,4.00153384,2.8556955,6.66088687,4.00125847,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,38,38,1,adult,38.1,"orbiniid, pointed prostomium",annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00244201,NA,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),8597.91,20330.8161,7,0.0209962,0.04964815,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Orbiniidae,NA,NA,NA
BSQ,39,39,1,adult,39.1,Naineris,annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.0050057,0.00311918,69,population,individuals encountered during the random sampling described in Kuris et al. (2008),3471713.47,4534069.77,4.00037569,15.951528,11.2701463,4.01709522,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Orbiniidae,Naineris,NA,NA
BSQ,40,40,1,adult,40.1,poly unk B (4 prost. tents),annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00337,0.00114805,3,population,individuals encountered during the random sampling described in Kuris et al. (2008),25793.72,60992.4483,7,0.0869446,0.20559134,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,41,41,1,adult,41.1,poly unk B (lg green),annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.0181,NA,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),8597.91,20330.8161,7,0.1556471,0.36804684,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,42,42,1,adult,42.1,"poly unk(""fuzzy dorsum"")",annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00445,0.00239138,17,population,individuals encountered during the random sampling described in Kuris et al. (2008),146164.4,195460.017,7,0.6508477,0.89987606,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,43,43,1,adult,43.1,Polydora sp.,annelid,life stage,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00358,8.3401e-4,2,population,individuals encountered during the random sampling described in Kuris et al. (2008),203827.23,565915.106,4,0.7298561,2.0264055,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Spionidae,Polydora,sp.,NA
BSQ,45,45,1,adult,45.1,spionid,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.00368,0.00212751,2,population,individuals encountered during the random sampling described in Kuris et al. (2008),17195.81,40661.6322,7,0.0632558,0.1495761,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Spionidae,NA,NA,NA
BSQ,49,24,2,larva,24.2,annelid unknown (green saccate thin skin),annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,0.001057,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,50,25,2,larva,25.2,Capitella capitata,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,4.189e-4,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Capitellidae,Capitella,capitata,NA
BSQ,51,26,2,larva,26.2,capitellid?,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,4.745e-4,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,54,29,2,larva,29.2,Cirriformia spirabrancha,annelid,life stage,Species,NA,nonfeeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,0.0168351,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Cirratulidae,Cirriformia,spirabrancha,NA
BSQ,59,34,2,larva,34.2,"Neanthes ""arenaceodentata""",annelid,life stage,Species,NA,nonfeeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,0.0018909,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Nereidae,Neanthes,arenaceodentata,NA
BSQ,60,36,2,larva,36.2,brown hesionid,annelid,life stage,Species,NA,nonfeeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,0.0100831,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Hesionidae,NA,NA,NA
BSQ,61,37,2,larva,37.2,poly unk (brwn setae ant third),annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,0.0096288,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,62,38,2,larva,38.2,"orbiniid, pointed prostomium",annelid,life stage,Species,NA,nonfeeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,7.08e-5,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Orbiniidae,NA,NA,NA
BSQ,63,39,2,larva,39.2,Naineris,annelid,life stage,Species,NA,nonfeeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,0.0537854,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Orbiniidae,Naineris,NA,NA
BSQ,64,40,2,larva,40.2,poly unk B (4 prost. tents),annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,2.932e-4,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,65,41,2,larva,41.2,poly unk B (lg green),annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,5.248e-4,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,66,42,2,larva,42.2,"poly unk(""fuzzy dorsum"")",annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,0.0021945,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,67,43,2,larva,43.2,Polydora sp.,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,0.0024609,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Spionidae,Polydora,sp.,NA
BSQ,69,45,2,larva,45.2,spionid,annelid,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.37e-5,NA,10,approximation,estimated volumetrically from a CSM plankton sample,NA,NA,NA,2.133e-4,NA,NA,extrapolation and quantified apportionment,apportioned polychaete larvae and bivalve larvae biomass (quantified in csm plankton cores) to spp based on their adult/juvy proportional biomass abundances in the 3 estuaries),Animalia,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,Spionidae,NA,NA,NA
BSQ,71,47,1,adult,47.1,leech(glossiphonid),leech,taxon,Family,NA,feeding,free-living,free-living,micropredator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Annelida,NA,NA,Hirudinoidea,NA,NA,NA,NA,NA,Glossiphoniidae,NA,NA,NA
BSQ,72,48,1,adult,48.1,anthozoan,anthozoan,taxon,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.00148,3.9413e-4,36,population,individuals encountered during the random sampling described in Kuris et al. (2008),230650.12,411699.482,4.00009102,0.2822231,0.58961184,4.0000689,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Cnidaria,NA,NA,Anthozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,77,53,1,adult,53.1,nemertean,nemertean,taxon,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.00656563,0.00162093,2,population,individuals encountered during the random sampling described in Kuris et al. (2008),175931.02,307393.666,6.06591589,1.1870713,2.33907937,4.54038297,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Nemertea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,78,54,1,adult,54.1,ophiuroid,ophiuroid,taxon,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00104905,1.4433e-4,9,population,individuals encountered during the random sampling described in Kuris et al. (2008),77381.15,182977.345,7,0.0811769,0.19195292,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Echinodermata,NA,NA,Ophiuroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSQ,90,66,1,adult,66.1,Blue Mussel,bivalve,life stage,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Mollusca,NA,NA,Bivalvia,NA,NA,NA,NA,NA,Mytilidae,Mytilus,galloprovincialis,NA
BSQ,106,66,2,larva,66.2,Blue Mussel,bivalve,life stage,Species,NA,feeding,free-living,free-living,predator,NA,high,resident,NA,3.63e-5,NA,NA,approximation,average bivalve veliger encountered in csm plankton samples,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Mollusca,NA,NA,Bivalvia,NA,NA,NA,NA,NA,Mytilidae,Mytilus,galloprovincialis,NA
BSQ,115,75,1,adult,75.1,Acteocina inculta,snail,taxon,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.00564874,0.00206365,9,population,individuals encountered during the random sampling described in Kuris et al. (2008),497794.36,835219.142,4.12778938,2.9697476,4.51912685,5.01604108,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Gastropoda,NA,NA,NA,NA,NA,Scaphandridae,Acteocina,inculta,NA
BSQ,116,76,1,adult,76.1,California Assiminea,snail,taxon,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00235182,2.5167e-4,5,population,individuals encountered during the random sampling described in Kuris et al. (2008),509568.07,1414787.76,4,1.1984132,3.32732855,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Gastropoda,NA,NA,NA,NA,NA,Assimineidae,Assiminea,californica,NA
BSQ,117,77,1,adult,77.1,Four-Threaded Bittium,snail,taxon,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.02180034,0.01776239,21,population,individuals encountered during the random sampling described in Kuris et al. (2008),442234.02,639135.951,4.38811805,9.3851919,13.9620632,4.18065274,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Gastropoda,NA,NA,NA,NA,NA,Cerithiidae,Bittium,quadrifilatum,NA
BSQ,119,79,1,adult,79.1,California Horn Snail,snail,taxon,Species,NA,feeding,free-living,free-living,predator,NA,low,resident,NA,0.84586523,0.40657919,2923,population,individuals encountered during the random sampling described in Kuris et al. (2008),561446.77,436201.856,4.1164892,568.8682,473.443486,4.03717218,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Gastropoda,NA,NA,NA,NA,NA,Potamididae,Cerithidea,californica,NA
BSQ,122,82,1,adult,82.1,Salt Marsh Snail,snail,taxon,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.59693018,0.14026375,26,population,individuals encountered during the random sampling described in Kuris et al. (2008),18348.09,25987.9714,4.00000009,10.605524,15.1458426,4.00000004,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Mollusca,NA,NA,Gastropoda,NA,NA,NA,NA,NA,Ellobiidae,Melampus,olivaceus,NA
BSQ,126,86,1,adult,86.1,Black Salt Marsh Mosquito,mosquito,life stage,Species,NA,feeding,free-living,free-living,micropredator,NA,intermediate,resident,NA,0.0025,NA,NA,species,"literature (Koenraadt 2008) mass of congener, A. aegypti",NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Hexapoda,NA,NA,NA,Diptera,NA,NA,NA,Culicidae,Aedes,taeniorhynchus,NA
BSQ,128,88,1,adult,88.1,Coleopteran,beetle,taxon,Species,NA,feeding,free-living,free-living,detritivore,NA,low,resident,NA,0.00124115,7.39e-5,2,population,individuals encountered during the random sampling described in Kuris et al. (2008),203827.23,565915.106,4,0.2529801,0.70238529,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Hexapoda,NA,NA,NA,Coleoptera,NA,NA,NA,NA,NA,NA,NA
